TOA5,,23644,CR1000.Std.16,CPU:ESTACION_CIE_ver36.CR1,24662,General,,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg
TS,,W/m2,W/m2,W/m2,W/m2,Deg C,%,meters/second,mbar
,,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
01/01/2010 00:00,1,0,0,0.31,0.001,21.05,47.4,0.838,877.0593
01/01/2010 00:10,2,0,0,0.158,0,21.04,48.7,0.813,876.9949
01/01/2010 00:20,3,0,0.025,0.001,0.001,20.85,47.54,1.017,877.0591
01/01/2010 00:30,4,0,0,0,0.001,21.25,48.29,1.514,877.0186
01/01/2010 00:40,5,0,0,0,0.002,20.65,47.98,1.743,876.9619
01/01/2010 00:50,6,0,0,0,0.004,20.23,54.22,2.566,877.0103
01/01/2010 01:00,7,0,0,0,0.001,19.56,50.3,2.593,876.8629
01/01/2010 01:10,8,0,0.002,0,0.001,19.49,53.23,2.66,876.9618
01/01/2010 01:20,9,0,0,0.016,0.002,19.34,47.67,2.494,876.9128
01/01/2010 01:30,10,0,0,0,0.005,20.3,50.54,1.769,876.9285
01/01/2010 01:40,11,0,0,0,0,18.93,52.75,2.021,876.8311
01/01/2010 01:50,12,0,0,0,0.001,19.02,50.84,1.116,876.9285
01/01/2010 02:00,13,0,0,0,0.002,18.92,54.46,1.996,877.0842
01/01/2010 02:10,14,0,0,0.004,0.001,18.72,52.65,1.925,876.9203
01/01/2010 02:20,15,0,0.006,0,0.001,18.74,50.37,1.621,877.0765
01/01/2010 02:30,16,0,0,0,0.002,18.71,54.02,1.078,877.084
01/01/2010 02:40,17,0,0,0,0.001,18.09,55.24,0.313,877.0435
01/01/2010 02:50,18,0,0,0,0,17.67,57.63,0.987,877.0672
01/01/2010 03:00,19,0,0,0.076,0,18.01,51.12,2.485,877.0115
01/01/2010 03:10,20,0.064,0.012,0.054,0.001,18.54,50.5,2.269,877.0106
01/01/2010 03:20,21,0.085,0.005,0.026,0.002,18.72,54.39,1.819,876.9288
01/01/2010 03:30,22,0,0,0,0.001,17.88,55.45,1.989,876.8794
01/01/2010 03:40,23,0,0,0,0.001,18.04,56.71,2.183,876.8547
01/01/2010 03:50,24,0,0,0,0.001,17.81,55,2.368,876.749
01/01/2010 04:00,25,0,0,0,0,17.89,58.79,2.559,877.019
01/01/2010 04:10,26,0,0,0,0,17.55,57.39,2.515,876.9618
01/01/2010 04:20,27,0,0,0.002,0,17.55,55.75,2.87,877.0269
01/01/2010 04:30,28,0.062,0,0,0,18.2,55.31,2.654,876.9121
01/01/2010 04:40,29,0.286,0,0,0,18.5,51.18,2.459,877.1169
01/01/2010 04:50,30,0.215,0,0,0,19.02,53.44,1.576,877.076
01/01/2010 05:00,31,0,0,0,0,18.26,55.55,2.656,877.1422
01/01/2010 05:10,32,0,0,0,0,18.61,53.37,1.632,877.24
01/01/2010 05:20,33,0,0,0,0,18.03,58.14,0.243,877.3542
01/01/2010 05:30,34,0,0,0,0,17.4,58.65,1.633,877.4201
01/01/2010 05:40,35,0,0,0.001,0,17.63,53.81,2.09,877.6324
01/01/2010 05:50,36,0,0,0,0,17.71,55.69,2.39,877.5779
01/01/2010 06:00,37,0,0,0,0,17.55,55.38,2.755,877.4898
01/01/2010 06:10,38,0.276,0,0.004,0,18.24,52.99,1.959,877.3716
01/01/2010 06:20,39,0.178,0,0,0.001,18.35,51.56,2.349,877.5922
01/01/2010 06:30,40,0.179,0.035,0.04,0.002,19.18,49.31,1.184,877.7394
01/01/2010 06:40,41,0.018,0.005,0.008,0.003,18.8,53.13,1.67,877.903
01/01/2010 06:50,42,0,0.108,0.008,0.007,18.77,48.12,1.763,878.0506
01/01/2010 07:00,43,0.886,0.621,0.342,0.024,20.24,44.77,1.247,878.0986
01/01/2010 07:10,44,0.193,2.276,2.097,0.127,20.03,51.63,0.498,878.0092
01/01/2010 07:20,45,0,7.151,6.505,0.398,19.14,46.21,0.628,878.0584
01/01/2010 07:30,46,0,18.51,15.14,0.869,19.63,42.32,0.745,878.2383
01/01/2010 07:40,47,0,35.94,25.62,1.533,19.4,49.58,0.82,878.3864
01/01/2010 07:50,48,0,57.28,35.42,2.333,19.12,47.26,0.503,878.5
01/01/2010 08:00,49,0,79.04,43.44,3.239,19.18,49.34,1.233,878.55
01/01/2010 08:10,50,0,105.9,51.92,4.247,19.69,49.17,0.406,878.6801
01/01/2010 08:20,51,0,136.5,60.22,5.314,19.55,50.33,1.314,878.705
01/01/2010 08:30,52,0,167.9,67.17,6.493,19.72,52.07,1.93,878.7945
01/01/2010 08:40,53,0,195.2,72.24,7.669,19.76,53.2,1.311,878.9021
01/01/2010 08:50,54,0.038,230.2,79.06,8.89,19.98,51.56,1.537,879.213
01/01/2010 09:00,55,0.047,263.4,84.2,10.31,20.2,52.24,2.022,879.4734
01/01/2010 09:10,56,0,295.2,89.6,11.67,19.95,51.76,2.089,879.4421
01/01/2010 09:20,57,0.216,332.3,95.9,13.29,20.14,51.87,2.471,879.5316
01/01/2010 09:30,58,0.314,313.9,93.5,13.75,20.33,50.95,2.37,879.7532
01/01/2010 09:40,59,0.281,362.3,99.7,15.58,20.16,50.13,2.054,879.8501
01/01/2010 09:50,60,1.881,399,108,17.33,20.97,49.07,1.895,880.0067
01/01/2010 10:00,61,2.198,432.5,120.8,18.69,20.96,48.9,2.054,879.8548
01/01/2010 10:10,62,2.454,435.2,151.5,19.9,21.16,46.24,2.508,880.0251
01/01/2010 10:20,63,1.563,481.7,225,21.07,20.9,46.44,2.404,880.1636
01/01/2010 10:30,64,4.256,648.5,281.4,27.61,21.28,43.06,2.908,879.7949
01/01/2010 10:40,65,5.146,630.8,291.4,27.94,21.68,39.75,2.549,879.8855
01/01/2010 10:50,66,2.26,518.9,272.1,25.04,21.75,41.6,3.171,879.7977
01/01/2010 11:00,67,2.965,557.3,294.2,26.66,21.86,40.13,2.56,879.8652
01/01/2010 11:10,68,5.922,689.4,278.2,30.6,22.46,39.31,2.905,879.8865
01/01/2010 11:20,69,5.627,642.9,207.7,29.76,22.94,37.81,2.19,879.8224
01/01/2010 11:30,70,6.823,690.8,195.6,31.53,23.49,36.41,2.378,879.7176
01/01/2010 11:40,71,6.29,709.4,200.9,32.54,23.45,33.99,2.046,879.5684
01/01/2010 11:50,72,6.801,718.8,202.3,32.84,24.01,32.73,2.559,879.394
01/01/2010 12:00,73,7.207,695.2,168.9,32.01,24.07,33.17,2.436,879.2472
01/01/2010 12:10,74,8.1,688.3,151.2,31.84,24.24,33.37,1.589,879.263
01/01/2010 12:20,75,10.51,684.6,145.4,31.63,24.23,32.32,0.997,879.1558
01/01/2010 12:30,76,13.57,679.6,142.9,31.37,25.17,32.21,0.594,878.8378
01/01/2010 12:40,77,10,667.3,143.5,30.37,24.34,32.93,2.246,878.6807
01/01/2010 12:50,78,11.66,662.2,143.4,30.24,24.9,31.87,1.078,878.3708
01/01/2010 13:00,79,11.48,666.9,141.2,30.86,25.37,30.75,1.2,878.2234
01/01/2010 13:10,80,14.76,668.2,140.8,31.83,25.87,30.71,1.06,878.028
01/01/2010 13:20,81,9.59,665.2,140.5,31.65,25.47,30.68,2.638,877.7655
01/01/2010 13:30,82,9.09,648.9,142.6,30.57,25.39,30.34,1.54,877.7086
01/01/2010 13:40,83,8.56,640.4,146.1,29.81,25.58,29.83,2.088,877.5692
01/01/2010 13:50,84,10.22,644.9,143.7,29.67,25.87,27.27,1.337,877.3799
01/01/2010 14:00,85,11.87,642.2,139.1,29.07,26.74,28.36,1.673,877.0873
01/01/2010 14:10,86,9.9,634.3,135.6,28.56,26.48,28.12,2.388,876.8244
01/01/2010 14:20,87,9.54,625,132.5,28.04,26.58,27.54,1.937,876.5795
01/01/2010 14:30,88,9.71,607.7,130.1,27.08,26.67,27.88,1.447,876.432
01/01/2010 14:40,89,10.6,582,127.6,25.69,26.68,27.51,1.407,876.2186
01/01/2010 14:50,90,12.93,566,123.7,24.62,27.15,26.96,1.457,876.1624
01/01/2010 15:00,91,144.1,525.6,119.5,22.17,27.27,26.76,1.468,875.9577
01/01/2010 15:10,92,630.6,507.7,117.6,21.26,27.27,26.15,1.407,875.7027
01/01/2010 15:20,93,635.5,492.5,113.9,20.32,27.43,26.45,2.155,875.5742
01/01/2010 15:30,94,148.5,479.9,110.9,19.71,27.64,26.38,1.681,875.6465
01/01/2010 15:40,95,11.58,457.9,108.4,18.62,27.62,25.5,1.945,875.4583
01/01/2010 15:50,96,11.38,431.7,106.4,17.26,28.01,25.43,1.304,875.2537
01/01/2010 16:00,97,10.43,404.1,103.6,15.92,27.94,25.5,1.421,875.4022
01/01/2010 16:10,98,9.87,370.5,99.6,14.29,28.15,24.37,0.721,875.4669
01/01/2010 16:20,99,7.976,252.1,84.8,11.21,28.3,26.62,2.011,875.4094
01/01/2010 16:30,100,1.179,153.3,74.88,8.4,27.13,26.01,1.544,875.369
01/01/2010 16:40,101,2.819,203.7,104.2,8.89,27.34,25.81,1.342,875.3349
01/01/2010 16:50,102,4.858,194.8,105.9,8.01,27.91,25.23,0.42,875.2213
01/01/2010 17:00,103,3.844,204.5,115,8.18,27.47,25.26,3.029,875.1888
01/01/2010 17:10,104,1.672,160.1,103.4,6.38,27.11,26.18,2.929,875.1972
01/01/2010 17:20,105,2.842,179.5,93.9,4.702,27.14,25.81,4.274,875.2789
01/01/2010 17:30,106,1.787,107.4,61.99,3.502,26.94,27.07,3.75,875.3113
01/01/2010 17:40,107,0,37.55,26.14,2.507,26.36,28.23,4.034,875.2222
01/01/2010 17:50,108,0,16.83,14.01,1.709,25.81,29.45,2.777,875.4828
01/01/2010 18:00,109,0,11.71,9.78,1.012,25.5,29.69,2.478,875.5326
01/01/2010 18:10,110,0,5.446,4.693,0.47,25.32,30.48,3.316,875.4338
01/01/2010 18:20,111,0,1.81,1.664,0.145,24.98,31.64,2.731,875.6115
01/01/2010 18:30,112,0,0.187,0.285,0.026,24.6,32.39,1.789,875.7275
01/01/2010 18:40,113,0,0,0.08,0.017,24.33,33.1,1.601,875.9153
01/01/2010 18:50,114,0,0,0.18,0.006,24.07,33.89,1.724,875.8965
01/01/2010 19:00,115,0,0,0.244,0.005,23.89,35.05,2.334,876.0367
01/01/2010 19:10,116,0,0,0.308,0.005,23.79,36.24,2.499,876.3245
01/01/2010 19:20,117,0,0,0.282,0.006,23.61,36.82,2.173,876.39
01/01/2010 19:30,118,0,0,0.312,0.005,23.49,37.47,2.491,876.5948
01/01/2010 19:40,119,0,0,0.198,0.005,23.28,37.85,1.809,876.8433
01/01/2010 19:50,120,0,0,0.256,0.004,23.08,38.49,1.561,876.995
01/01/2010 20:00,121,0,0,0.239,0.004,22.98,38.39,1.63,877.2012
01/01/2010 20:10,122,0,0,0.255,0.005,22.86,39.35,1.324,877.2281
01/01/2010 20:20,123,0,0,0.172,0.006,22.67,40.2,1.39,877.3669
01/01/2010 20:30,124,0,0,0.033,0.004,22.35,41.02,1.482,877.4832
01/01/2010 20:40,125,0,0,0.185,0.006,22.19,41.09,2.484,877.811
01/01/2010 20:50,126,0,0,0.201,0.005,22.15,41.5,2.441,877.8454
01/01/2010 21:00,127,0,0,0.101,0.004,21.95,43.38,1.879,878.0501
01/01/2010 21:10,128,0,0,0.028,0.001,21.58,44.64,1.114,878.1163
01/01/2010 21:20,129,0,0,0.159,0.002,21.29,45.29,1.093,878.2793
01/01/2010 21:30,130,0,0,0.308,0.003,21.26,45.15,1.673,878.3688
01/01/2010 21:40,131,0,0,0.281,0.002,21.02,47.02,2.484,878.3207
01/01/2010 21:50,132,0,0,0.229,0.004,20.69,47.84,2.594,878.6309
01/01/2010 22:00,133,0,0,0.272,0.003,20.54,48.46,3.011,878.6641
01/01/2010 22:10,134,0,0,0.097,0.002,20.31,48.97,2.77,878.6384
01/01/2010 22:20,135,0,0,0.126,0.003,20.16,49.72,3.038,878.5168
01/01/2010 22:30,136,0,0,0.079,0.002,19.91,50.3,3.148,878.5992
01/01/2010 22:40,137,0,0,0.02,0.001,19.69,51.05,3.03,878.8434
01/01/2010 22:50,138,0,0,0.103,0.002,19.58,51.53,2.447,878.8029
01/01/2010 23:00,139,0,0,0.107,0.003,19.4,51.42,2.35,878.9011
01/01/2010 23:10,140,0,0,0.24,0.001,19.41,52,2.406,878.8364
01/01/2010 23:20,141,0,0,0.119,0.002,19.23,52.72,1.857,878.8684
01/01/2010 23:30,142,0,0,0,0.001,18.9,54.29,0.683,878.7698
01/01/2010 23:40,143,0,0,0.028,0.001,18.58,54.94,0.441,878.7542
01/01/2010 23:50,144,0,0,0,0.002,18.23,57.83,0.631,878.9736
02/01/2010 00:00,145,0,0,0,0,17.69,58.01,1.057,878.7126
02/01/2010 00:10,146,0,0,0,0.001,17.67,57.73,1.035,878.6813
02/01/2010 00:20,147,0,0,0,0,17.64,57.02,1.818,878.7372
02/01/2010 00:30,148,0,0,0,0.001,17.64,57.19,2.108,878.7289
02/01/2010 00:40,149,0,0.002,0,0.002,17.69,56.68,1.212,878.6641
02/01/2010 00:50,150,0,0,0,0.001,17.67,57.49,1.418,878.6058
02/01/2010 01:00,151,0,0,0,0.001,17.63,58.11,2.361,878.6235
02/01/2010 01:10,152,0,0.001,0,0.003,17.27,58.21,2.445,878.5982
02/01/2010 01:20,153,0,0,0,0.001,17.3,58.45,2.234,878.5001
02/01/2010 01:30,154,0,0,0,0,17.2,58.14,2.594,878.4836
02/01/2010 01:40,155,0,0,0,0.001,17.44,57.73,2.836,878.4493
02/01/2010 01:50,156,0,0.001,0,0,17.38,58.93,2.563,878.4551
02/01/2010 02:00,157,0,0,0,0.001,16.73,62.03,2.728,878.3955
02/01/2010 02:10,158,0,0,0,0,16.23,62.61,2.719,878.2572
02/01/2010 02:20,159,0,0,0,0.001,16.08,63.46,2.335,878.2244
02/01/2010 02:30,160,0,0,0,0,16.18,61.59,2.705,878.2174
02/01/2010 02:40,161,0,0,0,0,16.36,62.11,2.526,878.1262
02/01/2010 02:50,162,0,0,0,0.001,16.27,61.63,1.993,878.0193
02/01/2010 03:00,163,0,0,0,0,16.44,60.84,2.058,877.9698
02/01/2010 03:10,164,0,0,0,0,16.14,65.11,1.68,877.897
02/01/2010 03:20,165,0,0,0,0,15.28,65.62,0.295,877.9145
02/01/2010 03:30,166,0,0,0,0,15.35,66.34,0,877.872
02/01/2010 03:40,167,0,0,0,0,14.98,68.73,0.898,877.9438
02/01/2010 03:50,168,0,0,0,0,14.51,70.92,1.913,877.88
02/01/2010 04:00,169,0,0,0,0,14.45,69.49,2.36,877.8199
02/01/2010 04:10,170,0,0,0,0,14.36,70.54,2.253,877.9153
02/01/2010 04:20,171,0,0,0,0,14.13,70.95,2.464,877.9229
02/01/2010 04:30,172,0,0,0,0,14.44,68.19,2.491,877.9494
02/01/2010 04:40,173,0,0,0,0,14.64,69.59,2.436,878.1468
02/01/2010 04:50,174,0,0,0,0.001,14.3,69.32,2.611,878.2687
02/01/2010 05:00,175,0,0,0,0.001,14.49,68.53,3.195,878.188
02/01/2010 05:10,176,0,0,0,0.001,14.65,68.05,3.293,878.334
02/01/2010 05:20,177,0,0,0,0,14.81,66.76,2.645,878.3105
02/01/2010 05:30,178,0,0,0,0,15.05,66.35,2.305,878.3585
02/01/2010 05:40,179,0,0,0,0,15.06,66.83,2.284,878.4083
02/01/2010 05:50,180,0,0,0,0,15.11,65.8,1.739,878.4742
02/01/2010 06:00,181,0,0,0,0,15.15,66.76,1.343,878.6294
02/01/2010 06:10,182,0,0,0,0,15.01,68.67,0.439,878.7033
02/01/2010 06:20,183,0,0,0.045,0,14.78,68.74,0,878.8506
02/01/2010 06:30,184,0,0,0,0,14.61,69.32,0.002,878.9483
02/01/2010 06:40,185,0,0,0,0,14.59,68.63,0.242,879.0637
02/01/2010 06:50,186,0,0.057,0.048,0.007,14.98,66.28,1.054,879.0219
02/01/2010 07:00,187,0,0.444,0.357,0.022,15.33,65.46,0.958,879.0307
02/01/2010 07:10,188,0,3.633,3.288,0.118,15.17,67.27,1.236,879.013
02/01/2010 07:20,189,0,6.025,5.462,0.377,15.27,65.22,1.54,879.0117
02/01/2010 07:30,190,0.24,14.93,13.08,0.822,15.46,65.32,1.726,879.0959
02/01/2010 07:40,191,0.164,24.06,21.3,1.338,15.44,66.28,1.249,879.2599
02/01/2010 07:50,192,0.041,33.85,31.04,1.875,15.32,65.39,1.652,879.3832
02/01/2010 08:00,193,0.409,51.15,46.89,2.638,15.48,63.55,1.595,879.5531
02/01/2010 08:10,194,0.567,68.2,63.14,3.48,15.62,64.4,1.452,879.6299
02/01/2010 08:20,195,0.848,79.68,73.51,4.185,15.75,64.02,0.43,879.7622
02/01/2010 08:30,196,1.217,94.2,85.2,4.909,15.99,63.44,0.019,879.7692
02/01/2010 08:40,197,1.469,121.5,103.2,6.088,16.12,63.71,0.61,879.7418
02/01/2010 08:50,198,2.482,184.7,145.1,8.72,16.32,60.68,1.24,879.6742
02/01/2010 09:00,199,2.868,217.4,151.7,10.43,16.75,59.27,1.127,879.723
02/01/2010 09:10,200,2.01,210.8,132.9,11.23,17.04,56.78,0.58,879.9023
02/01/2010 09:20,201,1.61,266,155.1,13.81,17.1,57.7,1.612,879.9517
02/01/2010 09:30,202,2.056,287,192,15.03,17.24,56.78,1.435,879.8184
02/01/2010 09:40,203,3.036,363,230.6,17.65,17.59,55.86,1.525,879.9496
02/01/2010 09:50,204,2.435,325.1,246,16.78,17.79,55.65,1.555,879.9246
02/01/2010 10:00,205,0.558,323.1,258,16.67,17.72,56.03,2.046,879.8912
02/01/2010 10:10,206,0.598,322.7,260.5,16.78,17.7,55.04,1.329,879.7932
02/01/2010 10:20,207,2.191,302,259.6,16.31,18.33,53.54,1.229,879.7029
02/01/2010 10:30,208,2.551,355.9,278.8,18.82,18.45,52.45,1.41,879.6536
02/01/2010 10:40,209,3.975,394.3,296.8,20.71,19.01,53.06,1.134,879.4988
02/01/2010 10:50,210,2.652,391.5,302.7,21.25,18.89,50.98,1.508,879.3591
02/01/2010 11:00,211,3.147,448.7,312.7,24.02,19.13,51.05,2.386,879.1877
02/01/2010 11:10,212,2.518,429.4,311.3,23.87,19.29,51.56,2.641,879.0811
02/01/2010 11:20,213,2.561,472.1,339.8,25.84,19.27,49.82,2.376,879.0077
02/01/2010 11:30,214,4.36,462,340.6,25.57,19.75,49.45,1.678,878.8507
02/01/2010 11:40,215,4.877,448,324.5,25.26,20.03,48.8,1.293,878.7274
02/01/2010 11:50,216,4.59,545.2,323.3,29.74,19.88,47.95,1.845,878.4547
02/01/2010 12:00,217,9.65,670.7,316.6,35.16,20.32,45.52,0.999,878.3476
02/01/2010 12:10,218,10.89,633.3,297.2,33.44,21.18,46.85,1.952,878.2374
02/01/2010 12:20,219,3.905,436.4,283.4,25.11,20.51,46.3,1.504,878.0381
02/01/2010 12:30,220,2.972,470.8,311.2,27.01,20.61,46.74,2.178,877.7307
02/01/2010 12:40,221,3.807,456.7,317.8,26.78,20.78,47.12,1.862,877.4489
02/01/2010 12:50,222,7.065,656.8,284.9,35.45,20.98,46.91,2.084,877.2144
02/01/2010 13:00,223,14.53,823,196.8,42.76,21.63,43.33,1.339,877.0031
02/01/2010 13:10,224,16.08,756.4,151.6,39.82,22.2,42.99,1.422,876.75
02/01/2010 13:20,225,14.84,633.2,189.7,35.01,22.28,41.59,1.028,876.4773
02/01/2010 13:30,226,14.36,743.3,192.4,39.06,22.68,39.34,1.101,876.1967
02/01/2010 13:40,227,13.93,563.8,228.5,30.29,23.44,40.5,1.046,875.884
02/01/2010 13:50,228,5.443,386.2,281.3,22.81,22.71,41.35,1.059,875.564
02/01/2010 14:00,229,6.308,498.7,320.8,27.17,22.81,42,0.985,875.3929
02/01/2010 14:10,230,6.346,445.6,311.6,24.31,22.75,42.13,1.08,875.0821
02/01/2010 14:20,231,4.175,343.9,290.6,19.77,22.83,41.55,1.466,875.0093
02/01/2010 14:30,232,2.199,304.5,267.7,17.76,22.69,39.82,1,874.9758
02/01/2010 14:40,233,2.962,334.4,271.5,18.46,22.97,40.29,1.48,874.6396
02/01/2010 14:50,234,3.633,337.8,272.2,18.5,22.89,38.38,0.713,874.5419
02/01/2010 15:00,235,10.67,341.8,263.5,18.17,23.68,39.51,0.81,874.3694
02/01/2010 15:10,236,7.715,244.8,218.7,14,23.17,40.02,1.145,874.2758
02/01/2010 15:20,237,7.611,241.8,216.9,13.46,23.02,39,0.693,874.0051
02/01/2010 15:30,238,5.038,238.8,203.2,13.39,23.32,38.56,1.028,873.8249
02/01/2010 15:40,239,5.939,294,219.7,15.05,23.75,38.32,1.121,873.8687
02/01/2010 15:50,240,2.133,192.4,167.9,11.17,23.52,38.45,0.401,873.6834
02/01/2010 16:00,241,0.94,168.5,154,9.74,23.59,38.39,0.335,873.5755
02/01/2010 16:10,242,0.051,125.7,114.8,7.511,23.31,40.84,1.496,873.6718
02/01/2010 16:20,243,0,120,111.5,6.948,22.97,41.59,1.632,873.4152
02/01/2010 16:30,244,0,94,87.1,5.475,22.98,40.16,0.79,873.4118
02/01/2010 16:40,245,0,90.6,81.3,5.177,23.12,39.75,0.541,873.463
02/01/2010 16:50,246,0,86.4,78.88,4.924,22.91,41.29,1.573,873.6774
02/01/2010 17:00,247,0,65.22,60.37,3.78,22.8,41.08,1.636,873.7612
02/01/2010 17:10,248,0,46.46,42.85,2.823,22.53,42.24,2.415,873.6464
02/01/2010 17:20,249,0,42.3,38.29,2.483,22.19,42.24,2.188,873.78
02/01/2010 17:30,250,0,34.52,31.6,2.029,22.15,43.1,1.583,873.8242
02/01/2010 17:40,251,0,22.49,20.39,1.354,22.08,43.3,1.371,873.7974
02/01/2010 17:50,252,0,14.32,12.99,1.01,22.02,43.88,0.993,873.8098
02/01/2010 18:00,253,0,8.74,7.719,0.605,21.91,44.36,1.569,873.7946
02/01/2010 18:10,254,0,3.12,2.65,0.27,21.77,44.98,2.02,873.9039
02/01/2010 18:20,255,0,0.748,0.562,0.09,21.66,46.07,1.798,874.0893
02/01/2010 18:30,256,0,0.088,0.041,0.019,21.43,46.51,1.745,873.9482
02/01/2010 18:40,257,0,0,0,0.014,21.29,48.01,1.004,874.2455
02/01/2010 18:50,258,0,0,0,0.006,21.17,47.67,0.894,874.4984
02/01/2010 19:00,259,0,0,0.015,0.005,21.26,47.02,0.462,874.4971
02/01/2010 19:10,260,0,0,0,0.005,21.22,50.47,0.19,874.3184
02/01/2010 19:20,261,0,0,0,0.004,20.41,49.86,1.098,874.3269
02/01/2010 19:30,262,0,0,0,0.005,20.48,51.8,1.391,874.4323
02/01/2010 19:40,263,0,0,0,0.004,20.32,51.7,0.206,874.3254
02/01/2010 19:50,264,0,0,0,0.004,20.59,50.54,0.758,874.45
02/01/2010 20:00,265,0,0,0,0.006,20.4,51.63,0.909,874.6293
02/01/2010 20:10,266,0,0,0,0.004,20.18,52.75,1.114,874.6126
02/01/2010 20:20,267,0,0,0,0.002,19.91,52.58,1.173,874.8002
02/01/2010 20:30,268,0,0,0,0.001,19.92,53.95,1.613,874.8176
02/01/2010 20:40,269,0,0,0,0.002,19.46,56.95,1.996,874.834
02/01/2010 20:50,270,0,0,0,0.004,19.5,54.97,1.796,874.9647
02/01/2010 21:00,271,0,0,0,0.003,19.99,53.47,0.517,875.0787
02/01/2010 21:10,272,0,0,0,0.006,19.99,55.04,1.248,875.121
02/01/2010 21:20,273,0,0,0,0.002,19.63,55.48,1.232,875.4227
02/01/2010 21:30,274,0,0,0,0,19.46,54.8,1.558,875.6522
02/01/2010 21:40,275,0,0,0,0.002,19.59,55.35,1.448,875.8737
02/01/2010 21:50,276,0,0,0,0.004,19.31,56.33,2.104,875.8898
02/01/2010 22:00,277,0,0,0,0.003,19.27,56.74,2.113,875.9467
02/01/2010 22:10,278,0,0,0,0.002,19.12,56.33,2.108,875.9625
02/01/2010 22:20,279,0,0,0,0.003,19.2,57.22,1.519,875.8237
02/01/2010 22:30,280,0,0,0,0.003,18.92,57.6,1.334,875.7827
02/01/2010 22:40,281,0,0,0,0.004,19.12,56.64,0.99,875.6517
02/01/2010 22:50,282,0,0,0,0.001,19.25,54.42,0.751,875.7431
02/01/2010 23:00,283,0,0,0,0.003,19.47,53.54,1.288,875.9714
02/01/2010 23:10,284,0,0,0,0.002,19.57,53.67,1.481,875.9376
02/01/2010 23:20,285,0,0,0,0.005,19.23,54.8,1.766,875.6926
02/01/2010 23:30,286,0,0,0,0.004,19.17,54.87,1.824,875.7914
02/01/2010 23:40,287,0,0,0,0.003,19.09,54.66,1.703,875.726
02/01/2010 23:50,288,0,0,0,0.003,19.24,56.16,1.524,875.5698
03/01/2010 00:00,289,0,0,0,0.004,18.74,56.68,1.811,875.4721
03/01/2010 00:10,290,0,0,0,0.004,18.86,55.96,1.473,875.4393
03/01/2010 00:20,291,0,0,0,0.004,19.13,53.06,1.619,875.5786
03/01/2010 00:30,292,0,0,0,0.005,19.37,54.49,1.846,875.6769
03/01/2010 00:40,293,0,0,0,0.004,18.97,56.47,2.198,875.7662
03/01/2010 00:50,294,0,0,0,0.002,18.86,53.61,2.821,875.7832
03/01/2010 01:00,295,0,0,0,0.003,18.94,57.7,2.745,875.6349
03/01/2010 01:10,296,0,0,0,0.001,18.41,59.1,2.708,875.4388
03/01/2010 01:20,297,0,0,0,0.003,18.32,59.34,0.685,875.3582
03/01/2010 01:30,298,0,0,0.154,0.003,18.61,59.16,0.035,875.3163
03/01/2010 01:40,299,0,0,0.311,0.004,18.57,59.91,0.492,875.0707
03/01/2010 01:50,300,0,0,0.102,0.004,18.53,60.39,0.34,874.9561
03/01/2010 02:00,301,0,0,0,0.002,18.5,59.3,0.824,874.9564
03/01/2010 02:10,302,0,0,0.061,0,18.52,59.95,0.019,874.8085
03/01/2010 02:20,303,0,0,0,0.001,18.5,61.28,0.485,874.7189
03/01/2010 02:30,304,0,0,0,0.003,18.25,58.69,1.5,874.6779
03/01/2010 02:40,305,0,0.003,0,0.004,18.35,57.83,2.571,874.6949
03/01/2010 02:50,306,0.023,0.015,0.002,0.006,18.49,57.56,2.861,874.8738
03/01/2010 03:00,307,0,0,0,0.004,18.51,58.14,2.25,874.785
03/01/2010 03:10,308,0,0,0,0.002,18.24,59.57,2.585,874.7761
03/01/2010 03:20,309,0,0,0,0.002,18.25,60.7,1.303,874.9154
03/01/2010 03:30,310,0,0.001,0,0.001,18.07,61.79,0.817,874.9238
03/01/2010 03:40,311,0,0.006,0.078,0.002,17.91,65.61,1.212,874.8585
03/01/2010 03:50,312,0,0,0.002,0.001,17.57,68.78,0.006,875.0127
03/01/2010 04:00,313,0,0,0,0.001,17.25,69.46,0.811,874.8175
03/01/2010 04:10,314,0,0,0.005,0.003,16.88,76.93,1.778,874.7846
03/01/2010 04:20,315,0,0,0.062,0.003,16.83,73.9,0.816,874.6288
03/01/2010 04:30,316,0,0,0.312,0.002,17.21,73.15,0.361,874.4645
03/01/2010 04:40,317,0,0,0.128,0.002,17.28,75.98,0.035,874.3677
03/01/2010 04:50,318,0,0,0,0.003,16.94,71.65,1.087,874.2524
03/01/2010 05:00,319,0,0,0,0.003,17.4,71.27,0.873,874.1123
03/01/2010 05:10,320,0,0,0,0.001,17.27,72.7,1.251,874.0158
03/01/2010 05:20,321,0,0,0,0.002,17.29,71.78,1.678,874.2366
03/01/2010 05:30,322,0,0,0,0.002,17.03,73.35,2.339,874.4816
03/01/2010 05:40,323,0,0,0,0.002,16.64,71.78,2.556,874.638
03/01/2010 05:50,324,0,0,0,0.004,16.72,69.53,2.324,874.5793
03/01/2010 06:00,325,0,0,0,0.003,16.73,69.02,2.175,874.3422
03/01/2010 06:10,326,0,0,0.001,0.002,17.06,68.61,1.513,874.5721
