TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Calc,AirTC_Avg,RH,WS_ms_Avg,WindDir,CS106_PB_Avg,Rain_mm_Tot
01/01/2023 10:50,66,677.8,837,127.9104382,24.01,46.44,1.936,139,880.3265,-
01/01/2023 11:00,67,702.3,860,123.6814431,24.03,46.44,2.336,143.3,880.3137,-
01/01/2023 11:10,68,717.8,867,122.0615276,24.39,45.73,1.846,193.4,880.2043,-
01/01/2023 11:20,69,734.1,871,124.494504,24.31,46.5,2.213,177,880.1639,-
01/01/2023 11:30,70,750.5,882,123.3241967,24.76,45.57,1.79,180.8,880.0938,-
01/01/2023 11:40,71,763.4,885,125.5968778,24.86,45.35,2.157,229.6,879.9238,-
01/01/2023 11:50,72,773.3,887,126.9726551,25.41,43.98,1.169,119.5,879.7819,-
01/01/2023 12:00,73,775.1,874,132.6889942,25.95,42.35,1.387,144.7,879.6586,-
01/01/2023 12:10,74,783.2,878,133.7070022,25.87,42.96,1.993,169.2,879.4304,-
01/01/2023 12:20,75,793.9,844,166.9683907,25.75,42.61,2,84.6,879.2695,-
01/01/2023 12:30,76,807,904,134.2217591,26.14,41.51,1.427,139,879.0228,-
01/01/2023 12:40,77,800,899,131.1619559,26.5,39.85,0.639,209.5,878.8028,-
01/01/2023 12:50,78,809,908,135.1919461,26.22,41.08,1.996,164.7,878.5828,-
01/01/2023 13:00,79,804,905,135.6345865,26.55,39.65,1.854,160.7,878.4018,-
01/01/2023 13:10,80,805,909,138.4078612,26.43,38.74,2.955,241.8,878.2065,-
01/01/2023 13:20,81,796.3,905,138.8289453,26.28,38.53,2.293,79.5,877.9203,-
01/01/2023 13:30,82,783.5,900,137.2762954,27.32,35.53,1.808,123.2,877.7365,-
01/01/2023 13:40,83,778.7,901,140.8300701,28.02,33.09,2.541,159.3,877.5951,-
01/01/2023 13:50,84,779.7,917,141.1922171,27.39,32.19,2.814,145.5,877.4698,-
01/01/2023 14:00,85,744.2,881,142.4087033,27.4,31.62,1.965,109.4,877.3698,-
01/01/2023 14:10,86,744.2,899,143.3863888,28.14,29.08,2.092,31.78,877.1809,-
01/01/2023 14:20,87,730.7,902,142.5634988,28.93,27.31,2.065,169,877.067,-
01/01/2023 14:30,88,714.4,899,144.185107,28.87,26.44,2.34,208.6,876.9851,-
01/01/2023 14:40,89,700.9,905,144.2620805,28.7,27.06,1.684,173.1,876.8868,-
01/01/2023 14:50,90,680.6,902,144.4055575,28.53,24.99,1.886,134.3,876.74,-
01/01/2023 15:00,91,651.6,890,142.1111907,28.74,24.85,2.185,203.5,876.5923,-
01/01/2023 15:10,92,617.6,872,138.7520209,27.87,27.12,2.031,306.2,876.4293,-
