TOA5,,23644,CR1000.Std.16,CPU:ESTACION_CIE_ver36.CR1,24662,General,,,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg,
TS,,W/m2,,,,Deg C,%,meters/second,mbar,
,,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg,
01/01/2011 00:00,1,0,0,0,0,19.6,21.82,1.918,876.0613,
01/01/2011 00:10,2,0,0,0,0.001,19.17,22.47,0.903,876.1016,
01/01/2011 00:20,3,0,0,0.018,0,18.92,21.76,1.72,876.0208,
01/01/2011 00:30,4,0.126,0,0,0.001,18.94,21.01,2.369,876.0361,
01/01/2011 00:40,5,0.139,0,0,0.002,18.66,20.26,2.679,875.9145,
01/01/2011 00:50,6,0.175,0,0,0.002,18.54,21.24,2.133,876.0694,
01/01/2011 01:00,7,0,0,0,0,17.54,19.64,2.563,876.1103,
01/01/2011 01:10,8,0.258,0,0.016,0,17.74,16.47,3.121,876.1024,
01/01/2011 01:20,9,0.354,0,0.009,0,17.79,18.79,2.936,876.1751,
01/01/2011 01:30,10,0.013,0.003,0.022,0,17.31,18.31,3.135,876.1927,
01/01/2011 01:40,11,0.487,0.093,0.253,0.001,17.84,17.97,2.885,876.1751,
01/01/2011 01:50,12,0.42,0.006,0.238,0,17.94,18.14,2.181,876.0947,
01/01/2011 02:00,13,0.406,0.001,0.304,0.002,18.22,19.85,1.596,876.0202,
01/01/2011 02:10,14,0.419,0.055,0.247,0.001,18.49,19.27,1.776,875.889,
01/01/2011 02:20,15,0.249,0,0.054,0,18.1,19.27,1.801,875.9054,
01/01/2011 02:30,16,0.054,0,0.059,0,18,18.86,1.103,875.6029,
01/01/2011 02:40,17,0.007,0,0,0,17.79,20.73,1.223,875.6755,
01/01/2011 02:50,18,0,0,0.007,0,17.43,20.9,1.624,875.571,
01/01/2011 03:00,19,0.098,0.019,0.188,0,17.29,18.76,2.288,875.4966,
01/01/2011 03:10,20,0.256,0.005,0.089,0.001,17.79,20.97,1.789,875.5367,
01/01/2011 03:20,21,0.236,0.021,0.049,0,17.62,20.46,2.615,875.3989,
01/01/2011 03:30,22,0,0,0,0,17.1,22.27,2.948,875.3001,
01/01/2011 03:40,23,0.531,0.05,0.08,0,17.51,20.63,2.649,875.0625,
01/01/2011 03:50,24,0.345,0,0,0.001,17.48,21.79,2.581,875.1526,
01/01/2011 04:00,25,0,0,0,0,16.99,22.06,2.396,875.0373,
01/01/2011 04:10,26,0.191,0,0,0,17.08,21.38,2.286,874.9736,
01/01/2011 04:20,27,0.155,0,0,0,16.85,25.3,1.346,875.1686,
01/01/2011 04:30,28,0,0,0,0,15.85,24.69,1.017,875.1291,
01/01/2011 04:40,29,0,0,0,0,15.65,24.76,1.764,875.0864,
01/01/2011 04:50,30,0,0,0,0,15.92,27.21,1.272,874.9979,
01/01/2011 05:00,31,0,0,0,0,14.97,28.92,1.978,875.0621,
01/01/2011 05:10,32,0,0,0.265,0,15.04,29.94,2.158,875.0798,
01/01/2011 05:20,33,0,0.032,0.307,0,15.1,29.87,2.263,875.2587,
01/01/2011 05:30,34,0.174,0.011,0.121,0,15.38,30.96,2.193,875.2621,
01/01/2011 05:40,35,0,0,0,0,15.16,31.24,1.164,875.3495,
01/01/2011 05:50,36,0,0.001,0.251,0,14.9,32.84,2.003,875.4119,
01/01/2011 06:00,37,0.412,0.227,0.312,0,15.43,29.16,2.211,875.4981,
01/01/2011 06:10,38,0.614,0.165,0.192,0.001,15.89,30.01,2.35,875.6918,
01/01/2011 06:20,39,0.493,0.161,0.221,0,15.95,29.53,2.366,875.7121,
01/01/2011 06:30,40,0.304,0.042,0.072,0,15.94,32.12,2.525,875.8379,
01/01/2011 06:40,41,0,0.003,0.011,0,15.45,31.17,2.563,875.9374,
01/01/2011 06:50,42,0,0.002,0,0.001,15.55,32.77,2.295,875.9266,
01/01/2011 07:00,43,0,0.673,0.464,0.024,15.17,32.26,2.535,876.0414,
01/01/2011 07:10,44,0,3.237,2.694,0.142,15.25,33.38,2.928,876.1455,
01/01/2011 07:20,45,0.593,8.13,6.724,0.484,15.11,32.84,3,876.2958,
01/01/2011 07:30,46,15.37,22,16.9,1.105,15.42,33.66,2.68,876.3835,
01/01/2011 07:40,47,208,63.55,33.79,1.944,15.42,35.67,2.468,876.4686,
01/01/2011 07:50,48,299.7,99,48.01,2.938,15.6,35.94,2.31,876.5524,
01/01/2011 08:00,49,293.9,127.3,65.65,4.267,15.73,36.73,2.335,876.6947,
01/01/2011 08:10,50,373.5,174.7,86.6,5.933,17.01,32.16,0.495,876.8492,
01/01/2011 08:20,51,305.6,181.1,95.6,7.206,18.67,28.82,0,877.0112,
01/01/2011 08:30,52,315.7,192.5,94.6,8.29,19.11,29.97,0.465,877.0849,
01/01/2011 08:40,53,312.6,200.3,90.1,9.4,18.74,30.93,0.838,877.5181,
01/01/2011 08:50,54,457.5,260.2,94,11.54,19.23,29.05,0.532,877.6658,
01/01/2011 09:00,55,446.5,271,94.5,12.78,20.14,28.17,0.711,877.8452,
01/01/2011 09:10,56,423.8,252.1,75.39,13.26,19.65,26.67,1.525,877.9857,
01/01/2011 09:20,57,829,409.4,65.12,17.99,20.19,24.72,1.241,878.0986,
01/01/2011 09:30,58,867,444,64.22,19.87,21.03,23.49,0.965,878.1517,
01/01/2011 09:40,59,880,481,71.91,21.88,21.25,24.51,1.312,878.2121,
01/01/2011 09:50,60,897,514.6,75.93,23.98,21.21,24.65,1.414,878.1635,
01/01/2011 10:00,61,887,539.9,84,25.76,21.95,22.6,0.931,877.9705,
01/01/2011 10:10,62,903,598,112.6,28.33,22.59,23.08,0.896,878.1297,
01/01/2011 10:20,63,895,636.9,131.1,30.35,22.74,22.53,1.33,878.2402,
01/01/2011 10:30,64,790.9,619.9,138.6,30.49,22.92,25.09,1.737,878.0035,
01/01/2011 10:40,65,756.5,622.3,138.8,30.85,22.73,24.75,1.289,878.019,
01/01/2011 10:50,66,431.6,577.2,229.2,30.49,22.51,25.67,1.954,877.9949,
01/01/2011 11:00,67,193.3,541.1,322.5,29.83,22.78,24.13,1.547,877.8967,
01/01/2011 11:10,68,119.8,492.1,331.5,28.41,22.81,24.78,2.157,877.7819,
01/01/2011 11:20,69,14.24,365.5,306.9,23.18,22.83,25.33,1.623,877.6101,
01/01/2011 11:30,70,22.7,401.6,336.7,24.73,22.7,24.51,1.577,877.6346,
01/01/2011 11:40,71,24.19,413.1,351.3,24.84,22.98,25.36,1.644,877.562,
01/01/2011 11:50,72,34.58,468.7,388.4,27.09,23.43,25.06,1.821,877.4133,
01/01/2011 12:00,73,47.51,504.3,404.8,29.13,23.55,23.76,1.216,877.2425,
01/01/2011 12:10,74,66.9,546,424.6,31.17,24.02,22.6,1.645,877.1266,
01/01/2011 12:20,75,91.5,566.6,425.9,32.28,24.19,22.12,1.509,877.0947,
01/01/2011 12:30,76,161.6,610.4,412.9,34.18,24.49,19.98,1.636,876.8173,
01/01/2011 12:40,77,394.5,699.5,351.2,37.24,25.04,18.37,1.337,876.685,
01/01/2011 12:50,78,246.1,628.9,367.7,34.67,25.2,19.74,1.84,876.3672,
01/01/2011 13:00,79,172.5,617.1,402.7,34.61,24.71,19.02,1.869,876.3818,
01/01/2011 13:10,80,224.7,650.7,398.6,35.93,25.24,18.95,1.678,876.0556,
01/01/2011 13:20,81,224.4,623.5,371.6,34.56,26.11,19.6,1.005,876.0068,
01/01/2011 13:30,82,40.81,488.2,387.7,28.85,26.02,19.6,1.034,875.6309,
01/01/2011 13:40,83,88.4,528.3,394.4,30.31,25.91,22.74,1.655,875.5151,
01/01/2011 13:50,84,285.8,608.6,359.8,33.28,25.85,21.71,1.042,875.4172,
01/01/2011 14:00,85,693.6,814,320,40.74,27.21,19.29,0.714,875.2465,
01/01/2011 14:10,86,269.2,523.7,293.5,29.15,27.08,14.56,1.531,875.1335,
01/01/2011 14:20,87,337.8,573.9,314.2,30.37,26.9,15.89,0.951,874.9462,
01/01/2011 14:30,88,406.1,583.1,294.6,29.95,27.64,15.71,0.46,874.6556,
01/01/2011 14:40,89,228.4,433.5,249.8,23.95,27.91,17.42,0.633,874.7413,
01/01/2011 14:50,90,379.4,528.9,263.1,26.48,27.49,17.25,1.123,874.5752,
01/01/2011 15:00,91,364.9,526.6,272.4,25.83,27.55,15.78,0.923,874.4504,
01/01/2011 15:10,92,320.1,505.6,286.2,24.49,28.02,17.18,1.396,874.4346,
01/01/2011 15:20,93,153,364.1,243.9,19.22,27.34,18.48,0.935,874.3013,
01/01/2011 15:30,94,107.6,326,232,17.34,27.27,18.14,2.179,874.1227,
01/01/2011 15:40,95,120.8,317.3,224,16.48,27.32,17.42,1.113,874.2963,
01/01/2011 15:50,96,77.62,254.2,191.4,14,27.34,18.58,1.174,874.0757,
01/01/2011 16:00,97,10.36,194.1,168.2,11.79,27.01,18.82,0.973,873.7728,
01/01/2011 16:10,98,17.85,177.5,152.4,10.54,27.08,19.29,0.551,873.8059,
01/01/2011 16:20,99,22.13,196.4,167,10.83,26.84,18.61,0.902,873.7739,
01/01/2011 16:30,100,8.09,149.7,131.4,8.95,26.98,18.61,0.768,873.8215,
01/01/2011 16:40,101,5.059,128.1,114.1,7.719,26.68,19.5,0.723,873.6832,
01/01/2011 16:50,102,1.662,120.2,109.7,6.895,26.69,19.36,0.403,873.8723,
01/01/2011 17:00,103,17.4,106.1,92.7,5.843,26.94,18.61,0.086,873.8051,
01/01/2011 17:10,104,1.937,95.5,86.7,5.297,26.82,18.99,0.517,873.7485,
01/01/2011 17:20,105,0,73.49,67.93,4.373,26.57,19.19,0.3,873.7004,
01/01/2011 17:30,106,0,54.51,49.84,3.349,26.25,20.66,1.389,873.8298,
01/01/2011 17:40,107,0,40.79,37.07,2.405,25.93,20.79,1.536,873.798,
01/01/2011 17:50,108,0,28.36,25.37,1.621,25.69,22.12,0.524,874.068,
01/01/2011 18:00,109,0,17.28,14.9,0.972,25.47,22.29,0.123,874.0762,
01/01/2011 18:10,110,0,8.81,7.609,0.464,25.07,23.32,0.066,874.043,
01/01/2011 18:20,111,0,1.693,1.384,0.15,24.63,24.41,0.525,874.1169,
01/01/2011 18:30,112,0,0.136,0.112,0.027,24.08,24.65,0.886,874.0179,
01/01/2011 18:40,113,0,0,0,0.016,23.8,25.09,1.279,874.0762,
01/01/2011 18:50,114,0,0,0,0.006,23.52,26.56,1.224,874.1749,
01/01/2011 19:00,115,0,0.001,0.085,0.003,23,26.45,2.429,874.4644,
01/01/2011 19:10,116,0,0,0.001,0.003,22.52,27.37,2.261,874.4189,
01/01/2011 19:20,117,0,0,0,0.005,22.39,27.68,2.309,874.5745,
01/01/2011 19:30,118,0,0,0,0.004,22.28,28.74,2.289,874.8343,
01/01/2011 19:40,119,0,0,0,0.005,22.33,29.32,2.209,874.7958,
01/01/2011 19:50,120,0,0,0,0.004,22.33,29.59,2.12,874.8865,
01/01/2011 20:00,121,0,0,0,0.004,22.15,30.48,2.295,874.995,
01/01/2011 20:10,122,0,0,0,0.004,21.91,30.07,2.429,875.1468,
01/01/2011 20:20,123,0,0,0,0.003,21.63,30.48,2.738,875.2351,
01/01/2011 20:30,124,0,0.001,0.001,0.003,21.19,30.89,2.379,875.226,
01/01/2011 20:40,125,0,0.001,0.002,0.001,20.95,32.02,2.044,875.3171,
01/01/2011 20:50,126,0,0,0.009,0.002,20.71,31.61,1.106,875.4805,
01/01/2011 21:00,127,0,0,0.037,0.001,20.86,32.97,0.068,875.6859,
01/01/2011 21:10,128,0,0,0,0.001,20.44,33.04,0.103,875.7474,
01/01/2011 21:20,129,0,0,0.05,0,20.16,33.08,0.922,876.0615,
01/01/2011 21:30,130,0.093,0.007,0.127,0,20.62,32.19,1.268,876.315,
01/01/2011 21:40,131,0.272,0,0,0.003,20.85,33.28,1.463,876.4297,
01/01/2011 21:50,132,0,0.004,0.015,0.001,20.23,36.39,2.05,876.667,
01/01/2011 22:00,133,0,0,0.048,0,19.51,37.65,2.1,876.7326,
01/01/2011 22:10,134,0.116,0.001,0.209,0,20.11,36.18,1.828,876.782,
01/01/2011 22:20,135,0.162,0,0.312,0,20.31,34.82,1.161,877.1252,
01/01/2011 22:30,136,0.358,0.063,0.207,0,20.33,32.33,2.27,877.0354,
01/01/2011 22:40,137,0.637,0.14,0.22,0.001,20.69,31.75,2.856,877.108,
01/01/2011 22:50,138,0.42,0.038,0.008,0.001,20.7,30.32,2.984,877.0436,
01/01/2011 23:00,139,0.481,0.005,0.001,0,20.96,30.01,2.938,876.9042,
01/01/2011 23:10,140,0.145,0,0,0,20.86,29.53,2.163,877.0679,
01/01/2011 23:20,141,0.182,0,0,0.001,20.96,30.18,1.595,877.0354,
01/01/2011 23:30,142,0,0,0,0.001,20.57,29.53,1.709,876.9454,
01/01/2011 23:40,143,0,0,0.017,0.001,20.31,31.37,1.698,877.0674,
01/01/2011 23:50,144,0,0,0.11,0,19.71,33.52,1.789,877.1415,
02/01/2011 00:00,145,0,0,0.001,0,19.5,31.85,2.318,877.0275,
02/01/2011 00:10,146,0,0,0,0.001,18.83,36.32,2.733,876.9445,
02/01/2011 00:20,147,0,0,0.008,0.001,18.15,36.73,2.595,876.8392,
02/01/2011 00:30,148,0,0,0.245,0.001,18.32,35.74,1.979,876.7727,
02/01/2011 00:40,149,0,0.001,0.048,0.001,18.32,35.6,1.434,876.8469,
02/01/2011 00:50,150,0.118,0,0.059,0.001,18.57,34.48,0.358,876.8305,
02/01/2011 01:00,151,0,0,0.078,0,18.27,37.1,0.915,876.6586,
02/01/2011 01:10,152,0.053,0.148,0.307,0.001,18.26,35.94,1.355,876.634,
02/01/2011 01:20,153,0.475,0.119,0.296,0,18.46,34.65,1.335,876.7973,
02/01/2011 01:30,154,0.867,0.141,0.179,0,18.99,34.1,1.121,876.6508,
02/01/2011 01:40,155,1.014,0.074,0.119,0,19.11,34.78,1.08,876.5034,
02/01/2011 01:50,156,1.166,0.046,0.339,0.001,19.42,32.87,2.083,876.495,
02/01/2011 02:00,157,1.081,0.001,0.312,0.001,19.68,33.32,1.746,876.4129,
02/01/2011 02:10,158,0.491,0,0.238,0,19.64,36.42,1.329,876.6097,
02/01/2011 02:20,159,0.151,0,0.157,0.001,19.19,33.45,0.806,876.5526,
02/01/2011 02:30,160,0.405,0.003,0.114,0.001,19.65,35.29,0.312,876.4449,
02/01/2011 02:40,161,0.393,0.059,0.196,0.002,19.53,33.11,0.774,876.5942,
02/01/2011 02:50,162,0.406,0.101,0.312,0.002,19.68,33.69,1.12,876.4858,
02/01/2011 03:00,163,0.055,0,0.022,0.002,18.88,37.68,0.251,876.4626,
02/01/2011 03:10,164,0,0,0,0.001,18.33,39.08,0.049,876.4788,
02/01/2011 03:20,165,0,0,0,0,18.08,42.08,0.8,876.5361,
02/01/2011 03:30,166,0,0,0.065,0,17.8,39.9,1.244,876.4701,
02/01/2011 03:40,167,0.12,0,0,0,18.02,38.6,1.19,876.4453,
02/01/2011 03:50,168,0.117,0,0.079,0.001,17.72,39.69,1.049,876.3884,
02/01/2011 04:00,169,0,0,0.274,0.001,17.78,38.67,0.565,876.3568,
02/01/2011 04:10,170,0,0,0,0,17.41,40.38,0.186,876.6834,
02/01/2011 04:20,171,0,0,0,0.001,17.38,40.1,0.344,876.6833,
02/01/2011 04:30,172,0,0.003,0,0,17.45,39.76,0.217,876.675,
02/01/2011 04:40,173,0,0,0.047,0,16.96,42.76,0.233,876.7079,
02/01/2011 04:50,174,0,0,0.183,0,16.69,41.23,0.017,876.8715,
02/01/2011 05:00,175,0,0.022,0.312,0,16.7,42.63,0.606,876.797,
02/01/2011 05:10,176,0,0.021,0.278,0,16.26,43.24,1.754,876.938,
02/01/2011 05:20,177,0.131,0.268,0.312,0,16.44,41.91,2.119,876.8961,
02/01/2011 05:30,178,0.397,0.145,0.227,0,16.57,41.09,2.703,877.117,
02/01/2011 05:40,179,0.147,0.035,0.042,0,16.51,42.32,2.808,876.9698,
02/01/2011 05:50,180,0,0,0,0,16.12,44.3,2.364,877.1576,
02/01/2011 06:00,181,0,0,0,0,15.72,46.62,2.42,877.2484,
02/01/2011 06:10,182,0,0,0.001,0,15.79,43.99,1.556,877.4938,
02/01/2011 06:20,183,0.099,0.051,0.065,0,16.25,44.13,1.054,877.6901,
02/01/2011 06:30,184,0.173,0,0,0,16.31,44.71,0.781,877.6763,
02/01/2011 06:40,185,0,0,0,0,15.91,46.07,0.622,877.809,
02/01/2011 06:50,186,0,0.011,0,0.002,15.53,46.17,0.795,877.8571,
02/01/2011 07:00,187,0,0.786,0.666,0.023,15.53,45.18,0.396,877.8561,
02/01/2011 07:10,188,0,3.372,3.015,0.135,15.77,45.05,0.028,878.0117,
02/01/2011 07:20,189,0.007,9.71,8.49,0.46,15.68,45.43,0.07,878.176,
02/01/2011 07:30,190,95.7,31.84,19.71,1.087,15.65,45.39,1.305,878.079,
02/01/2011 07:40,191,252.7,62.76,30.26,1.952,16.25,39.42,2.071,878.3132,
02/01/2011 07:50,192,341.5,88.4,35.63,2.59,17.39,42.7,2.498,878.3762,
02/01/2011 08:00,193,360.9,107.9,41.79,4.116,17.59,37.44,0.441,878.3595,
02/01/2011 08:10,194,436.8,141.8,49.01,5.406,18.53,39.28,0.684,878.6234,
02/01/2011 08:20,195,533.9,186.2,56.89,6.773,18.64,40.92,0.436,878.6156,
02/01/2011 08:30,196,575.7,218.7,61.89,8.14,19.89,36.62,0.136,878.7628,
02/01/2011 08:40,197,595.9,247.5,66.44,9.56,20.73,34.2,0.215,878.7779,
02/01/2011 08:50,198,566.4,260.8,70.38,10.45,21.92,35.84,0.054,878.8682,
02/01/2011 09:00,199,617.7,301,75.15,12.01,21.51,37.61,0.506,878.746,
02/01/2011 09:10,200,703.1,351.4,75.57,14.28,20.91,34.64,1.224,878.7696,
02/01/2011 09:20,201,726.1,381.6,76.32,16.02,21.01,36.58,1.867,878.8486,
02/01/2011 09:30,202,749.9,412.8,77.41,17.69,21.23,35.32,1.791,878.8397,
02/01/2011 09:40,203,778.3,444.5,76.86,19.68,21.31,35.79,1.917,878.7925,
02/01/2011 09:50,204,785.8,471.4,82,21.14,21.28,35.32,2.166,878.7939,
02/01/2011 10:00,205,827,505.6,79.05,23.64,21.6,33.03,1.657,878.9487,
02/01/2011 10:10,206,850,534.9,79.35,25.66,21.91,31.23,1.464,878.8538,
02/01/2011 10:20,207,864,560.4,79.71,27.37,22.01,32.73,2.378,878.7811,
02/01/2011 10:30,208,870,581.6,80.7,28.8,22.09,32.15,2.176,878.8784,
02/01/2011 10:40,209,879,602.8,81.9,30.21,22.41,31.74,1.904,878.9767,
02/01/2011 10:50,210,886,622.4,83,31.55,22.47,30.48,2.567,878.8378,
02/01/2011 11:00,211,897,642,83.3,32.96,22.66,30.51,2.342,878.6401,
02/01/2011 11:10,212,905,661,84.1,34.23,22.86,30.58,2.881,878.5432,
02/01/2011 11:20,213,908,674.8,85,35.13,23.03,30.17,3.074,878.4693,
02/01/2011 11:30,214,910,688.1,86.6,36.01,23.26,29.62,2.625,878.4117,
02/01/2011 11:40,215,908,699.3,88.9,36.56,23.39,29.38,2.749,878.1909,
02/01/2011 11:50,216,915,711.6,89.3,37.37,23.99,28.16,2.621,877.9536,
02/01/2011 12:00,217,912,717.2,89.5,37.69,24.02,27.78,2.37,877.8312,
02/01/2011 12:10,218,915,724.7,90,38.07,24.3,27.65,2.473,877.7407,
02/01/2011 12:20,219,927,734.8,88.3,38.88,24.58,26.59,1.418,877.5939,
02/01/2011 12:30,220,930,739.9,88.4,39.06,24.73,27.44,2.596,877.4704,
02/01/2011 12:40,221,917,737.8,90.7,39.18,24.25,27.68,3.134,877.1847,
02/01/2011 12:50,222,875,719.1,97,38.49,24.8,25.63,2.261,877.0211,
02/01/2011 13:00,223,833,698.1,101.4,37.51,25.3,24.82,2.108,876.7509,
02/01/2011 13:10,224,821,689.6,107.3,36.73,25.51,24.24,1.157,876.4484,
02/01/2011 13:20,225,878,714,99.4,37.28,26.05,24.95,1.045,876.5137,
02/01/2011 13:30,226,874,703.4,98.3,36.61,25.87,24.13,1.257,876.1791,
02/01/2011 13:40,227,920,719.9,92.5,37.2,26.4,22.6,1.664,876.2325,
02/01/2011 13:50,228,930,712.1,87.3,36.69,26.64,22.29,1.797,875.9885,
02/01/2011 14:00,229,927,697,85.3,35.66,27.23,22.16,0.965,875.606,
02/01/2011 14:10,230,915,681.8,85.8,34.23,27.78,20.38,0.466,875.4022,
02/01/2011 14:20,231,911,665,85.3,33.21,27.84,21.31,1.531,875.1733,
02/01/2011 14:30,232,908,649.2,83.6,32.28,27.49,20.32,0.843,875.112,
02/01/2011 14:40,233,893,627.4,83.7,30.71,27.7,20.83,1.561,874.8753,
02/01/2011 14:50,234,870,601.3,84.6,28.85,27.73,20.49,1.463,874.8264,
02/01/2011 15:00,235,863,585.5,84.3,27.72,27.45,20.76,2.338,874.6432,
02/01/2011 15:10,236,858,562.8,82.3,26.32,28.25,19.63,1.131,874.5727,
02/01/2011 15:20,237,847,537.3,80.1,24.78,28.1,19.87,1.636,874.4736,
02/01/2011 15:30,238,839,513.3,78.05,23.4,28.26,20.04,1.937,874.2736,
02/01/2011 15:40,239,829,487.1,75.85,21.88,28.27,19.57,2.053,874.0569,
02/01/2011 15:50,240,809,453.2,73.02,20.05,28.05,19.33,1.461,874.0787,
02/01/2011 16:00,241,784.7,421,70.41,18.26,28.51,19.43,2.434,874.1561,
02/01/2011 16:10,242,786.8,399.6,70.1,16.94,28.03,19.19,2.253,874.1604,
02/01/2011 16:20,243,771,367.2,67.91,15.28,28.85,16.77,0.514,874.2303,
02/01/2011 16:30,244,750.2,332.1,63.83,13.59,28.78,19.33,2.399,874.0918,
02/01/2011 16:40,245,720.9,295.4,59.33,11.9,28.38,18.85,1.991,873.8846,
02/01/2011 16:50,246,696.3,261.8,55.29,10.31,28.69,16.46,0.95,873.8713,
02/01/2011 17:00,247,639.2,220,51.02,8.62,29.09,15.95,0.857,873.9531,
02/01/2011 17:10,248,622.2,191.9,47.47,7.144,29.35,15.95,0.971,873.8557,
02/01/2011 17:20,249,572.8,158.3,43.68,5.756,28.93,16.4,1.508,873.8298,
02/01/2011 17:30,250,510.1,125.9,39.02,4.429,28.73,15.89,0.881,873.9459,
02/01/2011 17:40,251,427.6,93.8,32.78,3.207,28.57,16.23,0.891,873.9521,
02/01/2011 17:50,252,269,58.7,24.54,1.854,28.23,17.08,0.089,873.9041,
02/01/2011 18:00,253,93.6,26.11,14.01,1.254,27.68,18.2,0.298,873.9697,
02/01/2011 18:10,254,0.156,8.11,6.657,0.586,26.82,20.08,0.859,873.9451,
02/01/2011 18:20,255,0,2.501,2.091,0.189,25.87,21.75,0.231,874.0268,
02/01/2011 18:30,256,0,0.277,0.229,0.033,25.71,21,1.424,874.0186,
02/01/2011 18:40,257,0,0,0,0.017,25.43,22.23,1.663,874.0758,
02/01/2011 18:50,258,0,0,0,0.006,24.93,23.35,2.088,874.0678,
02/01/2011 19:00,259,0,0,0,0.004,24.11,25.67,2.416,874.1334,
02/01/2011 19:10,260,0,0,0,0.001,22.72,27.78,3.001,874.2236,
02/01/2011 19:20,261,0,0,0,0.002,21.91,30.14,2.373,874.5911,
02/01/2011 19:30,262,0,0,0,0.002,21.52,30.68,2.455,874.75,
02/01/2011 19:40,263,0,0,0,0.003,21.46,30.51,2.734,874.8305,
02/01/2011 19:50,264,0,0,0.095,0.003,21.62,30.86,1.758,875.2456,
02/01/2011 20:00,265,0,0.068,0.166,0.005,21.68,31.95,1.493,875.1773,
02/01/2011 20:10,266,0,0,0.206,0.004,21.41,33.52,1.599,875.5846,
02/01/2011 20:20,267,0,0,0.098,0.003,21.65,32.09,0.409,875.8066,
02/01/2011 20:30,268,0,0.012,0.312,0.005,22,31.47,0.846,875.9102,
02/01/2011 20:40,269,0.08,0.035,0.568,0.006,22.31,30.08,1.514,876.1359,
02/01/2011 20:50,270,0.223,0.002,0.394,0.007,22.74,31,1.295,876.1775,
02/01/2011 21:00,271,0.015,0.035,0.312,0.005,22.76,31.71,1.038,876.2346,
02/01/2011 21:10,272,0,0.11,0.312,0.005,22.78,32.77,1.51,876.4425,
02/01/2011 21:20,273,0,0.001,0.234,0.006,22.16,33.96,2.715,876.6494,
02/01/2011 21:30,274,0,0,0.006,0.002,20.94,34.07,2.728,876.8354,
02/01/2011 21:40,275,0,0.054,0.125,0.002,20.99,33.38,2.297,876.938,
02/01/2011 21:50,276,0.057,0.026,0.123,0.003,21.09,33.35,1.826,876.9252,
02/01/2011 22:00,277,0.214,0.048,0.273,0.004,21.62,33.69,2.003,877.0758,
02/01/2011 22:10,278,0.021,0.043,0.084,0.001,20.66,36.66,2.534,877.2484,
02/01/2011 22:20,279,0,0,0.001,0.001,19.68,37.24,2.551,877.1658,
02/01/2011 22:30,280,0,0.011,0.039,0.001,19.43,37.89,1.795,877.3787,
02/01/2011 22:40,281,0,0.025,0.031,0.002,19.17,38.5,2.493,877.5099,
02/01/2011 22:50,282,0,0,0,0.001,18.69,41.02,2.729,877.4119,
02/01/2011 23:00,283,0,0.018,0.02,0.001,18.6,41.13,2.776,877.5591,
02/01/2011 23:10,284,0,0.02,0.121,0.001,18.62,39.76,2.314,877.6163,
02/01/2011 23:20,285,0.249,0,0,0,18.83,39.52,2.294,877.6493,
02/01/2011 23:30,286,0.152,0.01,0.02,0.001,18.81,40.95,1.983,877.8127,
02/01/2011 23:40,287,0,0.015,0.004,0.002,18.01,42.18,2.766,877.796,
02/01/2011 23:50,288,0,0.017,0.074,0.001,17.79,45.08,1.944,877.6649,
03/01/2011 00:00,289,0,0,0.078,0,17.31,44.91,2.145,877.7311,
03/01/2011 00:10,290,0,0.023,0.097,0,17.28,45.46,1.808,877.7393,
03/01/2011 00:20,291,0.003,0.011,0.273,0.001,17.16,43.79,1.877,877.8043,
03/01/2011 00:30,292,0.349,0.128,0.264,0.001,17.73,42.28,1.769,877.8365,
03/01/2011 00:40,293,0.167,0.018,0.093,0.001,17.37,44.57,1.937,877.6736,
03/01/2011 00:50,294,0.007,0.022,0.232,0,17.34,43.89,1.587,877.7878,
03/01/2011 01:00,295,0.052,0.027,0.048,0,17.13,45.63,2.324,877.5425,
03/01/2011 01:10,296,0.005,0.004,0.081,0,17.07,44.5,1.502,877.7154,
03/01/2011 01:20,297,0.149,0.039,0.122,0,17.35,44.43,0.954,877.8607,
03/01/2011 01:30,298,0,0.021,0.126,0,16.99,45.46,1.44,877.6904,
03/01/2011 01:40,299,0.316,0.005,0.034,0,17.04,46.75,1.48,877.6318,
03/01/2011 01:50,300,0,0.001,0.009,0,16.64,47.88,1.682,877.6172,
03/01/2011 02:00,301,0,0,0,0,16.24,48.7,2.005,877.5905,
03/01/2011 02:10,302,0.253,0.061,0.151,0,16.43,46.55,2.151,877.4205,
03/01/2011 02:20,303,0.428,0.004,0.048,0,16.62,47.57,2.476,877.4771,
03/01/2011 02:30,304,0.232,0.001,0,0,16.37,47.02,2.65,877.4363,
03/01/2011 02:40,305,0.543,0.053,0.075,0,16.65,46.55,3.133,877.3049,
03/01/2011 02:50,306,0.55,0,0.001,0,16.63,45.97,2.715,877.4109,
03/01/2011 03:00,307,0.081,0,0,0,16.16,48.08,1.68,877.1998,
03/01/2011 03:10,308,0.205,0.023,0.079,0,16.35,48.18,2.783,877.3778,
03/01/2011 03:20,309,0.084,0,0.001,0,16.06,51.32,1.172,877.2075,
03/01/2011 03:30,310,0.113,0.043,0.19,0,16.11,50.5,2.358,877.2805,
03/01/2011 03:40,311,0.15,0.019,0.058,0,15.98,52.21,2.017,877.1583,
03/01/2011 03:50,312,0,0,0,0,15.54,53.61,1.95,877.2722,
